,id,name,type,year,num_sections,num_paragraphs
678,678,T-898-02,T,2002,3,73
679,679,C-251-97,C,1997,7,302
680,680,C-1191-01,C,2001,7,671
681,681,C-460-11,C,2011,3,217
682,682,T-050-10,T,2010,3,186
683,683,T-841-11,T,2011,3,442
684,684,T-159-08,T,2008,3,73
685,685,T-461-12,T,2012,6,528
686,686,T-896-07,T,2007,3,60
687,687,T-608-08,T,2008,4,215
688,688,T-948-09,T,2009,3,454
689,689,T-087-06,T,2006,5,167
690,690,T-002-18,T,2018,2,745
691,691,T-483-97,T,1997,3,79
692,692,C-700-13,C,2013,6,261
693,693,C-1373-00,C,2000,4,115
694,694,C-088-00,C,2000,4,173
695,695,T-1173-03,T,2003,3,66
696,696,T-105-05,T,2005,3,82
697,697,T-239-22,T,2022,4,221
698,698,T-654-05,T,2005,4,117
699,699,T-165-97,T,1997,4,103
700,700,SU218-19,SU,2019,3,151
701,701,T-561-06,T,2006,2,78
702,702,T-1517-00,T,2000,5,69
703,703,T-1246-00,T,2000,4,49
704,704,T-187-12,T,2012,3,152
705,705,T-389-93,T,1993,4,67
706,706,T-230-06,T,2006,3,170
707,707,SU747-98,SU,1998,3,174
708,708,T-634-97,T,1997,3,48
709,709,T-005-11,T,2011,3,134
710,710,C-782-04,C,2004,4,136
711,711,T-754-11,T,2011,5,166
712,712,T-814-10,T,2010,3,155
713,713,T-005-05,T,2005,0,33
714,714,C-031-95,C,1995,5,163
715,715,T-1073-03,T,2003,5,53
716,716,T-754-05,T,2005,6,192
717,717,T-814-04,T,2004,3,92
718,718,T-059-08,T,2008,3,110
719,719,T-561-12,T,2012,2,160
720,720,T-996-07,T,2007,4,111
721,721,C-263-19,C,2019,6,176
722,722,C-469-09,C,2009,3,2687
723,723,T-230-12,T,2012,5,156
724,724,T-708-08,T,2008,5,265
